intensidade_som;sinal_luz;som_normalizado;luz_normalizado;soma;risco_ambiente;;;;;
85;804;8,415841584;8,702031603;17,11787319;3;;;;;
79;794;7,821782178;8,589164786;16,41094696;3;;;;;
92;593;9,108910891;6,320541761;15,42945265;3;;;;;
51;782;5,04950495;8,453724605;13,50322956;2;;;;;
29;885;2,871287129;9,616252822;12,48753995;2;;;;;
52;682;5,148514851;7,325056433;12,47357128;2;;;;;
69;477;6,831683168;5,011286682;11,84296985;2;;;;;
18;919;1,782178218;10;11,78217822;2;;;;;
101;106;10;0,823927765;10,82392777;2;;;;;
20;815;1,98019802;8,826185102;10,80638312;2;;;;;
14;838;1,386138614;9,085778781;10,47191739;2;;;;;
8;887;0,792079208;9,638826185;10,43090539;2;;;;;
4;909;0,396039604;9,887133183;10,28317279;2;;;;;
3;913;0,297029703;9,93227991;10,22930961;2;;;;;
4;901;0,396039604;9,796839729;10,19287933;2;;;;;
1;916;0,099009901;9,966139955;10,06514986;2;;;;;
1;914;0,099009901;9,943566591;10,04257649;2;;;;;
1;912;0,099009901;9,920993228;10,02000313;2;;;;;
4;880;0,396039604;9,559819413;9,955859017;1;;;;;
5;868;0,495049505;9,424379233;9,919428737;1;;;;;
2;894;0,198019802;9,717832957;9,915852759;1;;;;;
3;885;0,297029703;9,616252822;9,913282525;1;;;;;
3;884;0,297029703;9,60496614;9,901995843;1;;;;;
3;883;0,297029703;9,593679458;9,890709161;1;;;;;
0;909;0;9,887133183;9,887133183;1;;;;;
3;874;0,297029703;9,492099323;9,789129026;1;;;;;
4;865;0,396039604;9,390519187;9,786558791;1;;;;;
1;886;0,099009901;9,627539503;9,726549404;1;;;;;
1;886;0,099009901;9,627539503;9,726549404;1;;;;;
2;877;0,198019802;9,525959368;9,72397917;1;;;;;
3;867;0,297029703;9,413092551;9,710122254;1;;;;;
4;856;0,396039604;9,288939052;9,684978656;1;;;;;
3;862;0,297029703;9,356659142;9,653688845;1;;;;;
5;841;0,495049505;9,119638826;9,614688331;1;;;;;
5;839;0,495049505;9,097065463;9,592114968;1;;;;;
1;874;0,099009901;9,492099323;9,591109224;1;;;;;
42;512;4,158415842;5,406320542;9,564736383;1;;;;;
16;736;1,584158416;7,934537246;9,518695662;1;;;;;
4;841;0,396039604;9,119638826;9,51567843;1;;;;;
42;505;4,158415842;5,32731377;9,485729611;1;;;;;
1;864;0,099009901;9,379232506;9,478242407;1;;;;;
7;808;0,693069307;8,74717833;9,440247637;1;;;;;
1;860;0,099009901;9,334085779;9,43309568;1;;;;;
3;838;0,297029703;9,085778781;9,382808484;1;;;;;
86;107;8,514851485;0,835214447;9,350065932;1;;;;;
87;98;8,613861386;0,733634312;9,347495698;1;;;;;
1;846;0,099009901;9,176072235;9,275082136;1;;;;;
3;826;0,297029703;8,9503386;9,247368303;1;;;;;
